,latitude,longitude,zip,po
0,40.7145,-73.9425,11211,Brooklyn
1,40.7947,-73.9667,10162,New York
2,40.7388,-74.0018,10011,New York
3,40.7539,-73.9677,10171,New York
4,40.8241,-73.9493,10031,New York
5,40.7429,-74.0028,10011,New York
6,40.8012,-73.96600000000002,10025,New York
7,40.7427,-73.9957,10011,New York
8,40.8234,-73.9457,10030,New York
9,40.7278,-73.9808,10009,New York
10,40.7769,-73.9467,10028,New York
11,40.8448,-73.9396,10032,New York
12,40.7488,-73.977,10017,New York
13,40.7707,-73.9817,10019,New York
14,40.7584,-73.9648,10022,New York
15,40.7439,-73.9743,10016,New York
16,40.7305,-73.983,10009,New York
17,40.8643,-73.928,10034,New York
18,40.7999,-73.9638,10025,New York
19,40.7328,-73.9799,10009,New York
20,40.7454,-73.9845,10001,New York
21,40.7427,-73.9794,10016,New York
22,40.7447,-73.9741,10017,New York
23,40.7074,-74.0081,10271,New York
24,40.7391,-73.9936,10011,New York
25,40.7584,-73.9653,10022,New York
26,40.7728,-73.9502,10044,New York
27,40.7709,-73.9917,10019,New York
28,40.7716,-73.9506,10044,New York
29,40.7897,-73.976,10162,New York
30,40.7902,-73.9678,10162,New York
31,40.7179,-74.0148,10282,New York
32,40.7301,-73.9942,10003,New York
33,40.844,-73.9404,10032,New York
34,40.79,-73.9418,10029,New York
35,40.7649,-73.9763,10153,New York
36,40.7471,-73.9867,10001,New York
37,40.753,-73.9959,10199,New York
38,40.7231,-74.0044,10013,New York
39,40.7723,-73.9533,10044,New York
40,40.7753,-73.954,10028,New York
41,40.7739,-73.9511,10044,New York
42,40.8031,-73.957,10026,New York
43,40.7975,-73.9626,10025,New York
44,40.7372,-73.9981,10011,New York
45,40.7479,-74.0005,10199,New York
46,40.7802,-73.9504,10028,New York
47,40.7377,-73.9831,10009,New York
48,40.7263,-73.8573,11374,Rego Park
49,40.7267,-73.8569,11374,Rego Park
50,40.7817,-73.9573,10028,New York
51,40.789,-73.9756,10162,New York
52,40.7522,-73.9702,10017,New York
53,40.7059,-73.8339,11351,Flushing
54,40.7943,-73.9675,10162,New York
55,40.7699,-73.9565,10021,New York
56,40.766,-73.9914,10019,New York
57,40.6888,-73.9522,11216,Brooklyn
58,40.7493,-73.7142,11004,Glen Oaks
59,40.7892,-73.9705,10162,New York
60,40.7571,-73.9647,10022,New York
61,40.7299,-73.9819,10009,New York
62,40.7796,-73.9493,10028,New York
63,40.7459,-73.9564,11109,Long Island City
64,40.7467,-73.9854,10001,New York
65,40.7619,-73.9854,10018,New York
66,40.7341,-73.9896,10003,New York
67,40.7413,-73.9779,10016,New York
68,40.7351,-73.9531,11222,Brooklyn
69,40.8028,-73.9648,10025,New York
70,40.7196,-74.0109,10013,New York
71,40.7777,-73.9532,10028,New York
72,40.7087,-74.0058,10038,New York
73,40.7924,-73.9741,10162,New York
74,40.7756,-73.9846,10069,New York
75,40.7054,-74.0095,10271,New York
76,40.7108,-73.8543,11375,Forest Hills
77,40.7802,-73.9444,10028,New York
78,40.664,-73.9342,11213,Brooklyn
79,40.7349,-73.9863,10003,New York
80,40.7617,-73.9626,10065,New York
81,40.8394,-73.9381,10032,New York
82,40.7931,-73.9715,10162,New York
83,40.7788,-73.9538,10028,New York
84,40.6578,-73.9259,11212,Brooklyn
85,40.769,-73.9541,10044,New York
86,40.6633,-73.9824,11215,Brooklyn
87,40.7762,-73.9592,10021,New York
88,40.7604,-73.9617,10065,New York
89,40.778,-73.9774,10023,New York
90,40.7801,-73.9803,10023,New York
91,40.7447,-74.0052,10014,New York
92,40.6896,-73.9982,11231,Brooklyn
93,40.7306,-73.8519,11375,Forest Hills
94,40.7318,-74.0016,10012,New York
95,40.7594,-73.9712,10022,New York
96,40.74800000000001,-73.9572,11109,Long Island City
97,40.7681,-73.9858,10019,New York
98,40.624,-74.0312,11209,Brooklyn
99,40.7161,-73.9548,11211,Brooklyn
100,40.7676,-73.9577,10021,New York
101,40.7073,-74.0046,10005,New York
102,40.5946,-73.9617,11223,Brooklyn
103,40.7426,-73.979,10016,New York
104,40.7793,-73.9496,10028,New York
105,40.7216,-73.9423,11222,Brooklyn
106,40.7802,-73.9504,10028,New York
107,40.7128,-74.0059,10007,New York
108,40.7763,-73.9518,10028,New York
109,40.7676,-73.9813,10019,New York
110,40.5757,-73.9686,11235,Brooklyn
